Cenário,Acurácia,Precisão,Recall,F1-score,ROC-AUC,PR-AUC
"Threshold padrão (0,50)",0.89,0.583,0.618,0.6,0.915,0.634
Threshold otimizado (0.42),0.878,0.538,0.618,0.575,0.915,0.634
